物理;ぶつり;physics。 natural law
稼ぐ;かせぐ;earn or make money
学費;がくひ;school expenses or tuition
名称;めいしょう;name
秩序;ちつじょ;order or method
原稿用紙;げんこうようし;manuscript paper or writing pad
性質;せいしつ;nature or property
穏やか;おだやか;calm or mild
波;なみ;wave or fluctuations
隠す;かくす;hide or conceal
驚き;おどろき;surprise or amazement
お陰;おかげ;help or thanks to
陰;かげ;shade or behind the scenes
物陰;ものかげ;place behind something
魅力;みりょく;charm or attraction
塊;かたまり;lump or ingot
醜い;みにくい;ugly or bad-looking
卑しい;いやしい;mean or greedy
砕く;くだく;crush or smash
砕ける;くだける;be crushed or break down
基礎;きそ;basis or foundation
貝;かい;shellfish or shell
ぬるぬる;ぬるぬる;slimy
浜辺;はまべ;beach or seashore
賢い;かしこい;wise or smart
王様;おうさま;king
悪賢い;わるがしこい;cunning or sly
頻りに;しきりに;frequently or repeatedly
心理;しんり;mental state or psychology
決勝;けっしょう;final or final game
頑固;がんこ;stubborn or obstinate
ぴょんぴょん;ぴょんぴょん;jump or hop
あきれる;あきれる;be stunned in disappointment or disbelief
せいぜい;せいぜい;at most
祝い;いわい;celebration or congratulation
頂く;いただく;receive or eat
到達;とうたつ;arrival or attainment
頂上;ちょうじょう;summit or climax
見下ろす;みおろす;look down or overlook
マヨネーズ;マヨネーズ;mayonnaise
勢力;せいりょく;influence or power
学問;がくもん;learning or scholarship
青春;せいしゅん;youth
赤ん坊;あかんぼう;baby
秋分;しゅうぶん;autumnal equinox
春分;しゅんぶん;vernal equinox
不機嫌;ふきげん;bad mood or displeasure
近頃;ちかごろ;recently or nowadays
矛盾;むじゅん;contradiction
倉庫;そうこ;warehouse or storehouse
創立;そうりつ;establishment or organization
一斉に;いっせいに;all together or all at once
強力;きょうりょく;powerful
液体;えきたい;liquid or fluid
真剣;しんけん;serious or sincere
演じる;えんじる;perform or play
刑務所;けいむしょ;prison
刑事;けいじ;detective
罰金;ばっきん;fine or penalty
罰する;ばっする;punish
罰;ばつ;punishment or penalty
一般に;いっぱんに;generally or in general
老人;ろうじん;old person or elderly
楽しみ;たのしみ;pleasure or something looked forward to
物知り;ものしり;knowledgeable person or know-it-all
豆;まめ;bean or peas
煮る;にる;boil or cook
煮える;にえる;boil or be boiled
蒸し暑い;むしあつい;humid
強烈;きょうれつ;intense or severe
黙る;だまる;become silent or shut one's mouth
獣;けもの;beast or brute
税金;ぜいきん;tax
無駄;むだ;no good or pointless
無駄遣い;むだづかい;wasting money
応援;おうえん;support or cheering
駆ける;かける;gallop or run quickly
駆け足;かけあし;gallop or run
気体;きたい;gas or vapor
沸騰;ふっとう;boiling
丘;おか;hill or slope
見渡す;みわたす;look out over
民間;みんかん;citizens or civilians
返却;へんきゃく;return
官庁;かんちょう;government office
県庁;けんちょう;prefectural office
庁;ちょう;public office or agency
都庁;とちょう;Tokyo Metropolitan City Hall
府庁;ふちょう;urban prefectural office
栄養;えいよう;nutrition or nourishment
洗剤;せんざい;detergent or cleanser
ペンキ;ペンキ;paint
つるつる;つるつる;smooth or slippery
生じる;しょうじる;happen or cause
擦る;こする;rub or strike
摩擦;まさつ;friction or rubbing
汗;あせ;sweat
額;ひたい;forehead or brow
びっしょり;びっしょり;soaked
てのひら;てのひら;palm
軸;じく;axis
後輩;こうはい;one's junior
先輩;せんぱい;senior or superior
製作;せいさく;manufacture or production
香り;かおり;perfume or fragrance
香水;こうすい;perfume
あえて;あえて;boldly
冒険;ぼうけん;adventure or risk
合唱;がっしょう;chorus
かえる;かえる;frog
結晶;けっしょう;crystallization
人格;じんかく;character or personality
敬う;うやまう;respect or honor
座敷;ざしき;drawing room or Japanese-style room
敷金;しききん;deposit or key money
取り敢えず;とりあえず;for now or first of all
消防;しょうぼう;fire fighting or fire prevention
勇気;ゆうき;courage or nerve
勇敢;ゆうかん;brave or heroic
劣る;おとる;be inferior to or be worse than
励ます;はげます;encourage or urge
わく;わく;well up
実は;じつは;actually
勘定;かんじょう;check or tab
勘;かん;sense or intuition
勘違い;かんちがい;misunderstanding
ごろごろ;ごろごろ;rumble
霧;きり;fog or mist
開ける;ひらける;widen or develop
霜;しも;frost
露;つゆ;dew or dewdrop
零下;れいか;below zero or sub-zero
雰囲気;ふんいき;atmosphere or mood
和らげる;やわらげる;soften or relieve
盆地;ぼんち;valley or basin
盆;ぼん;Bon Festival
盆;ぼん;tray
解散;かいさん;breakup or dissolution
公衆;こうしゅう;the public
衆議院;しゅうぎいん;House of Representatives or Lower House
観衆;かんしゅう;audience
群衆;ぐんしゅう;the masses or multitude
大衆;たいしゅう;the masses or the populace
どっと;どっと;burst (out laughing)
暑中見舞い;しょちゅうみまい;summer greeting
お仕舞い;おしまい;finished or over
舞台;ぶたい;stage or setting
見舞う;みまう;visit someone
見舞い;みまい;personal visit
ひらりと;ひらりと;lightly or delicately
軽快;けいかい;light or cheerful
リード;リード;the lead or take a lead
盆踊り;ぼんおどり;Bon Festival dance
海洋;かいよう;ocean or sea
ブレーキ;ブレーキ;brake
跳ねる;はねる;leap or hop or bound
金銭;きんせん;money or cash
銭湯;せんとう;public bath or bathhouse
古里;ふるさと;hometown or birthplace
児童;じどう;child or juvenile
図書;としょ;books
埋める;うめる;bury or fill up
埋める;うずめる;bury or fill in
墨;すみ;black ink
講堂;こうどう;lecture hall or auditorium
